Id,date,time,Username,Tweet,Language,Reply_Count,Retweet_Count,Likes_Count,Hashtags,Views
1.49664e+18,2/24/2022,2:01:32,liveuamap,"UN Security Council to hold emergency session on Ukraine Wednesday night, diplomats say  https://t.co/vBiRxoPa8R via @AFP #Ukraine",en,5,40,112,['ukraine'],2800
1.49664e+18,2/24/2022,2:02:33,liveuamap,At 4:30 Kyiv time. Most urgent after years  https://t.co/FFk1CEuqH9,en,2,28,83,[],2075
1.49664e+18,2/24/2022,2:03:39,liveuamap,Rare meeting of UNSC the same day(NY time) when requested  https://t.co/FFk1CEuqH9,en,1,17,78,[],1950
1.49664e+18,2/24/2022,2:15:19,liveuamap,Two Turkish Air Force Airbus A400M entered Ukrainian airspace. Looks like first one heading to Kyiv  https://t.co/UDZxp0B6LW via @MarQs__ #Ukraine  https://t.co/gHB1D46L7l,en,28,123,351,['ukraine'],8775
1.49664e+18,2/24/2022,2:19:59,liveuamap,Another cyber attack targeting the website of Security Service of Ukraine,en,11,180,389,[],9725
1.49665e+18,2/24/2022,3:02:55,liveuamap,U.S.. Secretary of state Blinken believes Russia will invade Ukraine before the night is over - NBC news  https://t.co/PiLUMlO1kh via @phildstewart #Ukraine,en,9,36,68,['ukraine'],1700
1.49665e+18,2/24/2022,3:11:51,liveuamap,Clashes audible this night in Mariupol  https://t.co/cAoxQnRUSK  https://t.co/c3WsF4sKML via @herooftheday10 #Ukraine,en,5,53,117,['ukraine'],2925
1.49665e+18,2/24/2022,3:12:13,liveuamap,"Blinken: We are doubling our security, diplomatic and humanitarian assistance to Ukraine  https://t.co/HsgAZCoa9K via @AJABreaking #Ukraine",en,4,79,187,['ukraine'],4675
1.49666e+18,2/24/2022,3:47:04,liveuamap,"The B-52?s landed in the Czech Republic Feb. 21, practicing quick-turn sortie generation and flying maneuvers alongside Czech fighter aircraft  https://t.co/cmItTMga8I via @defense_news #Ukraine",en,4,40,85,['ukraine'],2125
1.49666e+18,2/24/2022,3:49:16,liveuamap,Israeli civilian aircraft that was flying over western Ukraine has made a sudden turn and is leaving Ukrainian airspace  https://t.co/KcZkODVEJX via @lookner #Ukraine  https://t.co/ZJHCLUAQuq,en,18,84,238,['ukraine'],5950
