,id,created_at,date,time,username,name,tweet,language,mentions,photos,replies_count,retweets_count,likes_count,hashtags,link,retweet,video,reply_to,views_count,sentiment
0,1.49664e+18,2022-02-24 02:01:32 GTB Standard Time,2/24/2022,2:01:32,liveuamap,Liveuamap,"UN Security Council to hold emergency session on Ukraine Wednesday night, diplomats say  https://t.co/vBiRxoPa8R via @AFP #Ukraine",en,"[{'screen_name': 'afp', 'name': 'afp news agency', 'id': '380648579'}]",[],5,40,112,['ukraine'],https://twitter.com/Liveuamap/status/1496636374883225600,False,0,[],2800,-0.15249314488044477
1,1.49664e+18,2022-02-24 02:02:33 GTB Standard Time,2/24/2022,2:02:33,liveuamap,Liveuamap,At 4:30 Kyiv time. Most urgent after years  https://t.co/FFk1CEuqH9,en,[],[],2,28,83,[],https://twitter.com/Liveuamap/status/1496636630454743051,False,0,[],2075,1.3266537931663736
2,1.49664e+18,2022-02-24 02:03:39 GTB Standard Time,2/24/2022,2:03:39,liveuamap,Liveuamap,Rare meeting of UNSC the same day(NY time) when requested  https://t.co/FFk1CEuqH9,en,[],[],1,17,78,[],https://twitter.com/Liveuamap/status/1496636909212385291,False,0,[],1950,-0.8624706652820121
3,1.49664e+18,2022-02-24 02:15:19 GTB Standard Time,2/24/2022,2:15:19,liveuamap,Liveuamap,Two Turkish Air Force Airbus A400M entered Ukrainian airspace. Looks like first one heading to Kyiv  https://t.co/UDZxp0B6LW via @MarQs__ #Ukraine  https://t.co/gHB1D46L7l,en,"[{'screen_name': 'marqs__', 'name': 'marqs', 'id': '172323296'}]",['https://pbs.twimg.com/media/FMUiAUFWYAARrx4.jpg'],28,123,351,['ukraine'],https://twitter.com/Liveuamap/status/1496639841940955143,False,1,[],8775,3.0484664806579325
4,1.49664e+18,2022-02-24 02:19:59 GTB Standard Time,2/24/2022,2:19:59,liveuamap,Liveuamap,Another cyber attack targeting the website of Security Service of Ukraine,en,[],[],11,180,389,[],https://twitter.com/Liveuamap/status/1496641018124451841,False,0,[],9725,0.6156851824270559
5,1.49665e+18,2022-02-24 03:02:55 GTB Standard Time,2/24/2022,3:02:55,liveuamap,Liveuamap,U.S.. Secretary of state Blinken believes Russia will invade Ukraine before the night is over - NBC news  https://t.co/PiLUMlO1kh via @phildstewart #Ukraine,en,"[{'screen_name': 'phildstewart', 'name': 'phil stewart', 'id': '175248804'}]",[],9,36,68,['ukraine'],https://twitter.com/Liveuamap/status/1496651822261547011,False,0,[],1700,1.4542923586399583
6,1.49665e+18,2022-02-24 03:11:51 GTB Standard Time,2/24/2022,3:11:51,liveuamap,Liveuamap,Clashes audible this night in Mariupol  https://t.co/cAoxQnRUSK  https://t.co/c3WsF4sKML via @herooftheday10 #Ukraine,en,"[{'screen_name': 'herooftheday10', 'name': '??_eu_ua_nato_usa_??????????????????????????????', 'id': '1012275384816160768'}]",[],5,53,117,['ukraine'],https://twitter.com/Liveuamap/status/1496654070874087428,False,1,[],2925,1.6694488893767154
7,1.49665e+18,2022-02-24 03:12:13 GTB Standard Time,2/24/2022,3:12:13,liveuamap,Liveuamap,"Blinken: We are doubling our security, diplomatic and humanitarian assistance to Ukraine  https://t.co/HsgAZCoa9K via @AJABreaking #Ukraine",en,"[{'screen_name': 'ajabreaking', 'name': '??????? - ????', 'id': '243368411'}]",[],4,79,187,['ukraine'],https://twitter.com/Liveuamap/status/1496654162322501644,False,0,[],4675,1.725912386613146
8,1.49666e+18,2022-02-24 03:47:04 GTB Standard Time,2/24/2022,3:47:04,liveuamap,Liveuamap,"The B-52?s landed in the Czech Republic Feb. 21, practicing quick-turn sortie generation and flying maneuvers alongside Czech fighter aircraft  https://t.co/cmItTMga8I via @defense_news #Ukraine",en,"[{'screen_name': 'defense_news', 'name': 'defense news', 'id': '21312961'}]",[],4,40,85,['ukraine'],https://twitter.com/Liveuamap/status/1496662933669036034,False,0,[],2125,5.5946625198623705
9,1.49666e+18,2022-02-24 03:49:16 GTB Standard Time,2/24/2022,3:49:16,liveuamap,Liveuamap,Israeli civilian aircraft that was flying over western Ukraine has made a sudden turn and is leaving Ukrainian airspace  https://t.co/KcZkODVEJX via @lookner #Ukraine  https://t.co/ZJHCLUAQuq,en,"[{'screen_name': 'lookner', 'name': 'steve lookner', 'id': '51661036'}]",['https://pbs.twimg.com/media/FMU3gflXMAA_Ilg.jpg'],18,84,238,['ukraine'],https://twitter.com/Liveuamap/status/1496663484662169601,False,1,[],5950,1.6536444938792316
11,1.49666e+18,2022-02-24 03:52:27 GTB Standard Time,2/24/2022,3:52:27,liveuamap,Liveuamap,"Another aircraft nearing its destination airport in Zaporizhzhia, Ukraine just made a sudden turn in the opposite direction  https://t.co/XL7ZazNEUD via @lookner #Ukraine  https://t.co/CGgLqp5JFS",en,"[{'screen_name': 'lookner', 'name': 'steve lookner', 'id': '51661036'}]",['https://pbs.twimg.com/media/FMU4PQhXsAIxKhu.jpg'],8,35,115,['ukraine'],https://twitter.com/Liveuamap/status/1496664287821111302,False,1,[],2875,1.9442723878522568
12,1.49667e+18,2022-02-24 03:55:23 GTB Standard Time,2/24/2022,3:55:23,liveuamap,Liveuamap,SkyUp Airlines took off and directly returned to Kyiv  https://t.co/bfFHPgTisO via @Osinttechnical #Ukraine  https://t.co/Mmo5m5ZqdS,en,"[{'screen_name': 'osinttechnical', 'name': 'osinttechnical', 'id': '1188329290162675713'}]",['https://pbs.twimg.com/media/FMU46O-XMAQ52fc.jpg'],19,46,127,['ukraine'],https://twitter.com/Liveuamap/status/1496665026647756807,False,1,[],3175,0.6226366478315448
13,1.49667e+18,2022-02-24 04:13:56 GTB Standard Time,2/24/2022,4:13:56,liveuamap,Liveuamap,"Per NOTAM, flights by civil aircraft are now restricted inside Ukraine  https://t.co/1BYmNKKice via @flightradar24 #Ukraine  https://t.co/TJ9KQEBtI6",en,"[{'screen_name': 'flightradar24', 'name': 'flightradar24', 'id': '134196350'}]",['https://pbs.twimg.com/media/FMU9J_zXMAAyyWB.png'],3,68,123,['ukraine'],https://twitter.com/Liveuamap/status/1496669694639624197,False,1,[],3075,1.1291570874772634
14,1.49667e+18,2022-02-24 04:25:31 GTB Standard Time,2/24/2022,4:25:31,liveuamap,Liveuamap,"No more flights over Ukraine, except a single drone.  https://t.co/w0GMUiYJSi",en,[],['https://pbs.twimg.com/media/FMU_riHXoAErxAZ.jpg'],27,298,889,[],https://twitter.com/Liveuamap/status/1496672608791805952,False,1,[],22225,0.44097374232194486
